STT,SẢN PHẨM,NHU CẦU,TỈNH THÀNH,QUẬN HUYỆN,PHƯỜNG/ XÃ,"ĐƯỜNG, KHU VỰC",GIÁ,NGÀY ĐĂNG,HÃNG XE,DÒNG XE,XUẤT XỨ,NĂM SẢN XUẤT,DUNG TÍCH,SỐ CHỖ NGỒI,KIỂU XE,MÀU XE,NHIÊN LIỆU,HỘP SỐ,TRỌNG TẢI,SỐ KM ĐÃ ĐI
1,Ô tô,Cần bán,Hồ Chí Minh,Quận 2,Phường Thạnh Mỹ Lợi,,690000000,13/09/2021,BMW,3 Series,Đức,2013,,4,Sedan,,Xăng,Tự động,,79
2,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thới An,,330000000,13/09/2021,Toyota,Vios,,2017,,5,Sedan,,Xăng,Số sàn,,100
3,Ô tô,Cần bán,Hồ Chí Minh,Quận 1,Phường Bến Thành,,1699000000,13/09/2021,Volkswagen,Tiguan,Đức,2021,,7,SUV / Cross over,,Xăng,Tự động,,
4,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Đông,,515000000,13/09/2021,Toyota,Innova,Việt Nam,2018,,8,Minivan (MPV),,Xăng,Số sàn,,60
5,Ô tô,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 2,,830000000,13/09/2021,Ford,Ranger,Thái Lan,2019,,5,Pick-up (bán tải),,Dầu,Tự động,,38
6,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Hiệp Thành,,156000000,13/09/2021,Suzuki,Dòng khác,Việt Nam,2005,,7,Kiểu dáng khác,,Xăng,Số sàn,,11
7,Ô tô,Cần bán,Hồ Chí Minh,Quận 8,Phường 1,,215000000,13/09/2021,Ford,Focus,Việt Nam,2009,,5,Sedan,,Xăng,Số sàn,,96
8,Ô tô,Cần bán,Hồ Chí Minh,Quận 8,Phường 1,,618000000,13/09/2021,Chevrolet,Captiva,Việt Nam,2017,,7,SUV / Cross over,,Xăng,Tự động,,31
9,Ô tô,Cần bán,Hồ Chí Minh,Quận 8,Phường 1,,458000000,13/09/2021,Ford,Focus,Việt Nam,2014,,5,Sedan,,Xăng,Tự động,,60
10,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Tây,,880000000,13/09/2021,Toyota,Camry,Việt Nam,2017,,5,Sedan,,Xăng,Tự động,,16.99
11,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,,635000000,13/09/2021,Ford,Ranger,Thái Lan,2021,,5,Pick-up (bán tải),,Dầu,Tự động,,
12,Ô tô,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,,450000000,13/09/2021,Honda,City,Nhật Bản,2017,,5,Sedan,,Xăng,Tự động,,90
13,Ô tô,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Tân Thạnh Tây,,690000000,13/09/2021,Ford,Ranger,Thái Lan,2016,,5,Pick-up (bán tải),,Dầu,Tự động,,33
14,Ô tô,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 12,,630000000,13/09/2021,Mazda,3 Series,Việt Nam,2020,,5,Sedan,,Xăng,Tự động,,17.611
15,Ô tô,Cần bán,Hồ Chí Minh,Quận 9,,,389000000,13/09/2021,Hyundai,Accent,Việt Nam,2021,,5,Sedan,,Xăng,Số sàn,,
16,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thới An,,350000000,13/09/2021,Hyundai,Grand i10,Nhật Bản,2020,,5,Sedan,,Xăng,Tự động,,11
17,Ô tô,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Chánh,,420000000,13/09/2021,Toyota,Corolla Altis,Việt Nam,2015,,5,Sedan,,Xăng,Số sàn,,999
18,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,,,465000000,13/09/2021,Ford,Ranger,Mỹ,2017,,5,Pick-up (bán tải),,Dầu,Số sàn,,65
19,Ô tô,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 15,,1319000000,13/09/2021,Hyundai,Santa Fe,Việt Nam,2021,,7,SUV / Cross over,,Dầu,Tự động,,
20,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 25,,52000000,13/09/2021,Daewoo,Lanos,,2001,,5,Sedan,,Xăng,Số sàn,,12.348
21,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,,1850000000,13/09/2021,Mercedes Benz,E Class,Việt Nam,2020,,5,Sedan,,Xăng,Tự động,,4
22,Ô tô,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 8,,668000000,13/09/2021,Toyota,Camry,Nhật Bản,2013,,5,Sedan,,Xăng,Tự động,,70
23,Ô tô,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú B,,420000000,13/09/2021,Chevrolet,Orlando,Việt Nam,2017,,7,Minivan (MPV),,Xăng,Tự động,,75
24,Ô tô,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,,515000000,13/09/2021,Honda,City,Việt Nam,2018,,5,Sedan,,Xăng,Bán tự động,,24
25,Ô tô,Cần bán,Hồ Chí Minh,Quận 2,Phường Thảo Điền,,881695000,13/09/2021,Vinfast,Lux,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,
26,Ô tô,Cần bán,Hồ Chí Minh,Quận 2,Phường Thảo Điền,,881695000,13/09/2021,Vinfast,Lux,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,
27,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thới An,,450000000,13/09/2021,Hyundai,Accent,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,
28,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,,,4999000000,13/09/2021,Mercedes Benz,GLS Class,Mỹ,2021,,7,SUV / Cross over,,Xăng,Tự động,,
29,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Kiểng,,599000000,13/09/2021,Honda,City,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,
30,Ô tô,Cần bán,Hồ Chí Minh,Quận 2,Phường An Phú,,335000000,13/09/2021,Nissan,Murano,Nhật Bản,2005,,8,SUV / Cross over,,Xăng,Tự động,,85
31,Ô tô,Cần bán,Hồ Chí Minh,Quận 9,Phường Long Thạnh Mỹ,,340000000,13/09/2021,Chevrolet,Cruze,,2016,,5,Sedan,,Xăng,Số sàn,,48
32,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,,,2690000000,13/09/2021,Mercedes Benz,GLB,Nước khác,2021,,7,SUV / Cross over,,Xăng,Tự động,,
33,Ô tô,Cần bán,Hồ Chí Minh,Quận 1,Phường Bến Nghé,,6700000,12/9/2021,Acura,EL,,2018,,,,,,Tự động,,6
34,Ô tô,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 11,,419000000,12/9/2021,Chevrolet,Colorado,Nước khác,2018,,5,Pick-up (bán tải),,Dầu,Số sàn,,17
